epoch,train_loss,val_r,val_rmse,val_ci
1,0.6577020690412738,0.5900826,1.371273974449869,0.6610526493162919
2,0.49196918046701105,0.6030783,1.3119179025207357,0.702150963426039
3,0.44461547647215577,0.6131777,1.3017916950415118,0.7075431161587652
4,0.4113199671722486,0.63425326,1.3245215055794188,0.7100622625135857
5,0.3878488635604233,0.64193743,1.260417113290923,0.7130532222325198
6,0.3691699804681217,0.601374,1.346618429648265,0.6970536940458838
7,0.352615814795857,0.64549065,1.3384426787866497,0.718217893521834
8,0.34115010854867317,0.68664384,1.2276759348258899,0.7424573051031671
9,0.32705937129299373,0.63715744,1.3098613919027138,0.7247137525170401
10,0.3185146344190388,0.5886388,1.3545907994728217,0.7185549030676294
11,0.3074674216043369,0.62949646,1.3608406759477856,0.7252613930289575
12,0.2986912574058406,0.62917566,1.4086223935786855,0.723037130026708
13,0.2899192998179138,0.65053713,1.2808602833606493,0.738952405826895
14,0.2833875916559423,0.626858,1.3084895305979984,0.7314623686715926
15,0.2762291198782506,0.6429265,1.3262523239072237,0.7378402743257703
16,0.2690228687449994,0.64305663,1.278051897490647,0.7351863241526316
17,0.2632101568075531,0.682637,1.2623409945380821,0.7543958682629686
18,0.2564949581874464,0.6662266,1.2286760137564319,0.7457768491292516
